id,pos,neg,estm,cmp
294,4.1,3.2,3,3.33333333333333
295,2,3.1,2,2.66666666666667
296,1.1,3.8,2,2.33333333333333
297,2.4,2.8,3,2.66666666666667
298,2.8,3,1.2,2.33333333333333
299,2.4,3.4,2.8,1.33333333333333
300,3.7,2.8,3.2,2.5
301,1.7,2.8,2.8,3.66666666666667
302,1.2,3.9,1.6,3.33333333333333
303,3,3.5,2.2,2.5
304,2.4,2.6,1,1
305,2.4,3.9,1.8,1.33333333333333
306,3.4,3.3,2.4,2.33333333333333
307,3.2,2.8,2.4,2.83333333333333
308,2.2,3.9,2.4,2.66666666666667
309,3.4,2.7,1.8,3.66666666666667
310,1.1,3.2,1,3
311,3,2.3,2.6,2.83333333333333
312,3.2,2.2,3.6,3
313,2.3,2.5,2.4,2.66666666666667
314,2.7,3,3.2,3.83333333333333
315,2.9,2.8,2,2
316,1.8,3.6,2.4,3.16666666666667
317,1.6,3.7,2,2.16666666666667
318,1.7,3.2,2,2.33333333333333
319,1.5,3,2,2
320,3.4,2.1,4.4,4
321,1.8,4.8,1,1.66666666666667
322,1,3.6,1.8,2
323,1.7,3.8,1.8,1.5
324,2.4,3,2.8,3.16666666666667
325,4,2.4,3,3.5
326,2.5,2.3,2.4,3.66666666666667
327,3.9,2.6,2.6,2.5
328,3.2,2.8,2.2,2.83333333333333
329,2,3,2.4,2
330,1.6,4.2,1,1.16666666666667
331,2.6,3.6,1.6,2.33333333333333
332,4,2.7,3.4,3
333,1.9,2.7,2.6,4
334,3.3,3.8,2,4
335,2.7,3.3,2.4,3.66666666666667
336,3.4,1.4,3.8,2.33333333333333
337,2,3,1.8,4
338,2.5,3.2,2.2,2.33333333333333
339,4,3,3,2
340,1.6,4.3,1,3.16666666666667
341,1.9,4.1,1.2,3.33333333333333
342,2.5,3.1,2.4,2.33333333333333
343,2.9,2.5,2.4,3.16666666666667
344,1.7,3.8,2.2,2
345,1.6,3.3,1.4,3.16666666666667
346,1.2,3.9,1.6,3
